"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Pirkanmaa","Ruovesi","41.9","42.5","40.5","42.3","42.5","42.8","43.6","43.9","43.2","43.1","42.7","40.1","40","37.9","36.1","."
"Pirkanmaa","Sastamala","0","0","0","0","0","0","0","0","0","0","34.2","33.3","34.1","34.2","33.2","."
"Pirkanmaa","Tampere","53","52.9","52.1","52.1","52.3","47.5","48.9","47.2","45.2","44.1","43.2","42.6","41.3","40.4","40","."
"Pirkanmaa","Urjala","43.6","44.1","45.9","45.9","44.3","43.9","33.8","32.3","31.2","30.5","30.5","30.8","32.8","30.6","31.2","."
"Pirkanmaa","Valkeakoski","48.7","47.8","47.9","47.8","47.4","46.8","46.3","46.4","44.8","44.3","43.5","42.6","38.2","37.1","35.4","."
"Pirkanmaa","Vesilahti","37.7","38.5","39.5","40.2","38.9","43.2","46","44.7","43","42.1","41.2","41.7","38.9","33.6","33.2","."
"Pirkanmaa","Virrat","38.9","47.3","51.5","46.2","45.2","47.4","48.8","50.9","46.6","43.9","44.9","42.9","41.9","40.6","39.9","."
"Pirkanmaa","Ylöjärvi","41.4","41.4","41.6","43.6","61.9","56.3","51.4","50.8","46.8","47","45.7","44.1","43.2","42.8","42.2","."
"Pohjanmaa","Isokyrö","43.8","35.3","41.6","40.5","39.9","40.7","39.3","42.5","43.1","43","41.4","40.2","39.6","40.3","38.8","."
"Pohjanmaa","Kaskinen","48.2","47.9","46.7","45.7","43.4","42.8","46.8","45.5","44.1","43.7","44","43.1","38.3","38.1","36.1","."
"Pohjanmaa","Korsnäs","78.9","82","86.3","85.9","86.3","86.6","87.4","87","45.4","40.2","39.4","34.9","33.8","33.2","35.2","."
"Pohjanmaa","Kristiinankaupunki","52.8","51.1","48.9","50.8","50.8","54.3","50.7","49.8","49.7","45.1","47","47.4","49.2","50.6","53.1","."
"Pohjanmaa","Kruunupyy","56.9","55.7","47.5","48.3","48.1","46.7","46","44.1","44.6","42.6","43.6","39.6","42.8","42.6","41.9","."
"Pohjanmaa","Laihia","48.5","49.5","48.4","44.1","42.8","47.5","45","39.2","38.6","38","36.9","36.7","35.5","32.4","35.7","."
"Pohjanmaa","Luoto","39","35.2","36.5","40.1","39.9","38.6","39.3","37.6","36.6","36.6","36.3","34.6","34.7","33.5","34.4","."
"Pohjanmaa","Maalahti","49.7","42.1","37.8","38.3","42.1","44","42.9","38.7","35.6","32","32","29.5","29.7","29.9","30","."
"Pohjanmaa","Mustasaari","48","47.7","47.5","44.6","44.4","44","41.8","41.6","41.2","39.5","37.5","37.2","35.1","35.2","34.9","."
"Pohjanmaa","Närpiö","52.9","54.5","53","61.6","55.4","46.5","45.6","44.4","41.9","38.4","38","40.3","35.6","38.5","38.8","."
"Pohjanmaa","Pedersören kunta","36.8","39.3","39.6","41.5","36.6","35.1","33.3","31.9","31.3","29.9","28.9","27","29","26.6","27.7","."
"Pohjanmaa","Pietarsaari","52.4","53.9","54","53.6","53.4","53.1","51.7","48.5","47.5","47.4","46.3","42.4","42","41.6","40.6","."
"Pohjanmaa","Uusikaarlepyy","41.6","50.8","46.5","44.9","45.2","45","43.6","43.9","43.6","42.3","40","38","38.8","36.8","40.6","."
"Pohjanmaa","Vöyri","0","0","0","0","0","0","0","0","0","0","0","0","33.8","33.7","33.9","."
