"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Lappi","Salla","101151","111885","85547","90408","81798","82890","78716","69437","66973","60199","61983","63894","60199","61235","57967","."
"Lappi","Simo","70697","68511","68775","69741","68093","62449","55839","55768","52855","45520","35309","34368","30811","32387","33325","."
"Lappi","Sodankylä+Pelkosenn.+Savuk.","221704","229107","232739","226323","222362","228244","211532","198894","183281","159328","190378","191464","184035","185447","176128","."
"Lappi","Tervola","87520","86140","88801","87755","80236","75551","72329","65430","62099","62283","61056","54289","56791","52149","49619","."
"Lappi","Tornio","484708","477399","467638","451706","427746","399962","354523","331434","309571","276806","256621","255947","254400","245648","242060","."
"Lappi","Utsjoki","19067","21763","24937","30113","29791","30798","23282","21181","22623","22748","19222","18632","22532","20093","20502","."
"Lappi","Ylitornio+Pello","81627","84471","88613","88298","101398","107084","111223","106376","100141","94675","95859","83172","135792","140672","145368","."
"Maakunta","Etelä-Karjala","2157968","2192649","2201574","2309372","2325380","2327111","2165856","2094283","1908339","1902333","1947712","1860735","1852196","1820545","1613595","."
"Maakunta","Etelä-Pohjanmaa","3731057","3849605","3837806","3880731","3897664","3909876","3777053","3776112","3651696","3671153","3631046","3575665","3631449","3468998","3570479","."
"Maakunta","Etelä-Savo","3204156","3200057","3147328","3162503","3261884","3276996","3093574","2920021","2831704","2749701","2618801","2487357","2428413","2322309","2291694","."
"Maakunta","Kainuu","2313059","2341862","2335092","2394516","2340764","2315006","2148042","2012019","1926038","1824876","1796937","1667970","1628423","1537567","1513499","."
"Maakunta","Kanta-Häme","3119204","3165071","3121412","3278248","3377666","3499907","3388483","3287121","3246577","3221299","3238091","3148570","3191247","3062238","2963583","."
"Maakunta","Keski-Pohjanmaa","1424492","1515877","1496533","1474928","1442352","1419531","1407637","1333232","1294926","1309595","1271695","1203932","1205416","1181563","1175628","."
"Maakunta","Keski-Suomi","5641529","5815447","5938399","6144235","6156878","6024193","5915485","5825995","5786073","5671172","5514407","5397908","5367991","5290315","4964497","."
"Maakunta","Kymenlaakso","3545106","3777822","3730468","3742798","3637317","3794982","3567576","3329522","3355762","3250642","3203601","3104470","3102118","3105967","3043862","."
"Maakunta","Lappi","4378709","4398554","4389932","4420105","4362637","4349602","4087174","3846031","3604623","3495604","3346806","3214228","3181684","3157358","2985173","."
"Maakunta","Päijät-Häme","4541876","4730925","4754474","4863713","4937008","4943730","4667758","4463106","4356018","4190291","4236477","4148954","4091653","3992110","3892749","."
"Maakunta","Pirkanmaa","9287782","9447685","9504292","9813885","10203840","10585593","10226220","9967313","9851290","10042314","10214795","9551955","10158906","9953004","9804908","."
"Maakunta","Pohjanmaa","3067473","3105214","2999865","3139280","3105857","3148580","3128565","3111398","3065013","3068898","3064761","3034504","3075168","3053677","3021863","."
"Maakunta","Pohjois-Karjala","4011993","4083859","4113028","4208314","4268772","4257328","3976401","3802744","3774279","3744790","3705130","3544263","3531812","3490656","3293606","."
"Maakunta","Pohjois-Pohjanmaa","7985952","8190200","8411829","8768567","8817704","8956129","8595603","8480557","8423208","8370343","8344122","8067049","8130113","7892948","7773871","."
"Maakunta","Pohjois-Savo","5569466","5493928","5957786","6122712","6104317","5848390","5458552","5345088","5196710","4934760","4917600","4749650","4626550","4499461","4299927","."
"Maakunta","Satakunta","4691080","4975204","5120658","5308055","5383408","5362926","4921212","4827940","4786001","4648249","4267324","4399624","4405131","4409534","4286975","."
"Maakunta","Uusimaa","21022379","21856881","22263091","23474066","24114856","25144509","24574964","23977285","23721493","23697031","23560227","23184338","25316981","24900771","24254523","."
"Maakunta","Varsinais-Suomi","8238044","8657518","8695638","8899254","9190783","9067148","9012238","8675810","8575002","8475092","8416658","8384050","8502460","7769327","8025288","."
"Päijät-Häme","Asikkala","135819","150592","151896","152136","149906","149235","150862","146856","151738","140410","124222","117518","114177","104852","108359","."
"Päijät-Häme","Hämeenkoski","28168","32983","30720","28496","30773","29108","34596","30438","28706","32236","31294","31071","31189","31279","30976","."
"Päijät-Häme","Hartola","69557","71874","72865","68336","68139","64690","68024","61615","54008","53376","47850","49122","48747","49947","51174","."
"Päijät-Häme","Heinola","361675","389534","380251","384635","397101","395067","372239","370971","369202","357775","340166","332075","307974","297460","295100","."
"Päijät-Häme","Hollola+Kärkölä","352620","362016","367414","383592","382527","370375","446801","420025","412836","463788","486823","477853","485289","475997","470081","."
"Päijät-Häme","Lahti","2710496","2797058","2798050","2870923","2926850","2938885","2658198","2503580","2421270","2272574","2380802","2351412","2343377","2302309","2231433","."
"Päijät-Häme","Nastola","239488","251381","265862","277595","275820","286266","285125","273508","272477","266772","244344","232737","225599","214415","211008","."
"Päijät-Häme","Orimattila","371041","400680","418624","429924","428848","428857","394413","405406","406704","402209","394967","387145","388043","375469","352405","."
"Päijät-Häme","Padasjoki","100413","100746","99583","92164","99052","99341","91729","89218","88834","87891","86313","83891","78881","80174","81278","."
"Päijät-Häme","Sysmä","96760","101823","93497","99115","104270","107044","99947","96688","95173","101386","88979","76384","68377","60208","60935","."
"Pirkanmaa","Akaa","0","0","0","0","0","0","0","0","247209","253055","251193","233384","273191","261364","251831","."
"Pirkanmaa","Hämeenkyrö","182209","191453","193063","194729","197085","193737","224987","216264","210129","213732","211017","186108","166391","175000","174294","."
"Pirkanmaa","Ikaalinen","114046","109682","103879","104869","106850","101664","93795","90051","83379","79824","84855","88776","88838","92428","92441","."
"Pirkanmaa","Juupajoki","31002","32058","32183","27986","27262","27367","27272","27066","24287","24764","26752","24146","26322","29841","27486","."
"Pirkanmaa","Kangasala","534222","532917","538630","550547","549846","562711","574437","567478","552906","535926","523796","450050","546403","597810","567432","."
"Pirkanmaa","Kihniö","33317","33347","31725","31559","33324","33758","33184","32528","34960","34313","29744","28169","27445","25224","31845","."
"Pirkanmaa","Lempäälä","213588","222235","241639","246117","289171","301920","304142","338618","354057","377652","397517","381800","421051","419474","428450","."
"Pirkanmaa","Mänttä-Vilppula","0","0","0","0","0","0","0","0","0","0","158831","154859","167538","162814","160438","."
"Pirkanmaa","Nokia","467705","480318","499948","506630","512245","621095","614018","517583","518581","529916","566486","517990","551456","536482","518498","."
"Pirkanmaa","Orivesi","165478","156928","154538","163563","162849","156178","148967","146155","153181","155826","179169","169621","176300","183523","184140","."
"Pirkanmaa","Pälkäne","62401","62483","65437","63700","67974","70161","64600","60607","103142","105601","109544","106220","108918","112465","112649","."
"Pirkanmaa","Parkano","141197","141284","122783","123904","119156","121826","117138","117269","111262","119255","119114","115299","114496","110099","120007","."
"Pirkanmaa","Pirkkala","233954","241099","249588","253776","277446","348363","291196","298886","295287","312293","319992","318302","376545","371581","361181","."
"Pirkanmaa","Punkalaidun","56286","57524","58720","58917","57564","60973","54273","56157","54481","57377","58932","54743","52035","48711","45245","."
"Pirkanmaa","Ruovesi","111989","118948","112136","116048","115656","114274","109387","105302","103443","101157","94285","91025","88472","85539","85492","."
"Pirkanmaa","Sastamala","0","0","0","0","0","0","0","0","0","0","427249","416278","439160","448080","460807","."
"Pirkanmaa","Tampere","4769848","4870554","4940671","5184298","5307971","5386149","5205377","5101781","5087643","5187845","5251438","4858910","5171411","4980629","4892687","."
"Pirkanmaa","Urjala","97384","100739","102712","98918","95708","103104","95520","86412","79721","82363","80573","75360","76930","74327","74660","."
"Pirkanmaa","Valkeakoski","438994","446031","445361","443105","446974","447912","409626","396110","383622","382919","366762","345829","370983","350295","345281","."
"Pirkanmaa","Vesilahti","63044","62679","65976","71021","75874","78781","79059","78163","83472","86779","89689","88952","88455","80196","82282","."
"Pirkanmaa","Virrat","130666","154638","156945","156665","160048","164068","152855","142882","126483","131560","134978","126086","123832","116952","112926","."
"Pirkanmaa","Ylöjärvi","335511","353177","365416","352628","542780","593104","596631","565970","582307","609406","687578","670446","702734","690170","674836","."
"Pohjanmaa","Isokyrö","88547","83674","83730","83414","87714","93824","91709","89163","89898","93768","92218","90876","90247","88943","87920","."
"Pohjanmaa","Kaskinen","25170","22615","25324","23596","22789","23074","25016","23761","22702","22894","23653","24565","23065","21607","19202","."
"Pohjanmaa","Korsnäs","38988","33678","31151","28042","29594","27932","25345","24474","25108","23999","24016","23994","24877","24468","25562","."
