"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Keski-Suomi","Toivakka","0.7","0.71","0.72","0.72","0.69","0.71","0.72","0.72","0.72","1.11","0.93","1.05","0.98","0.94","1.03","."
"Keski-Suomi","Uurainen","0.62","0.55","0.74","0.76","0.76","0.76","0.74","0.64","0.63","0.61","0.48","0.77","0.58","0.57","0.56","."
"Kymenlaakso","Hamina","1.01","1.01","1.02","1.02","0.87","0.86","0.86","0.78","0.83","0.83","0.79","0.77","0.73","0.81","0.76","."
"Kymenlaakso","Iitti","0.79","0.8","0.74","0.76","0.76","0.76","0.76","0.77","0.77","0.71","0.68","0.58","0.73","0.71","0.73","."
"Kymenlaakso","Kotka","0.7","0.75","0.77","0.77","0.77","0.8","0.83","0.79","0.79","0.76","0.76","0.73","0.67","0.69","0.7","."
"Kymenlaakso","Kouvola","0.94","0.92","0.96","0.98","1","0.97","0.98","0.98","1.01","1.01","0.86","0.92","1","0.91","0.81","."
"Kymenlaakso","Miehikkälä","0.38","0.39","0.79","0.71","0.61","0.64","0.65","0.49","0.41","0.51","0.52","0.66","0.68","0.69","0.69","."
"Kymenlaakso","Pyhtää","0.66","0.66","0.67","0.67","0.86","1.13","0.95","0.85","0.8","0.94","0.88","0.76","0.74","0.78","0.76","."
"Kymenlaakso","Virolahti","0.76","0.77","0.77","0.7","0.76","0.8","0.81","0.82","0.83","0.72","0.73","0.71","0.71","0.72","0.72","."
"Lappi","Enontekiö","0.69","0.67","0.7","0.71","1.13","1.29","1.3","1.3","1.28","1.23","1.36","1.35","1.36","1.35","1.59","."
"Lappi","Inari","0.94","0.95","0.95","0.96","0.97","0.98","0.99","0.99","1","1.01","1.02","1.02","1.03","1.04","1.04","."
"Lappi","Kemi","0.93","0.92","0.91","0.98","1.02","0.96","0.98","0.97","0.81","0.91","0.81","0.8","0.8","0.77","0.67","."
"Lappi","Kemijärvi","0.71","0.73","0.74","0.77","0.73","0.72","0.71","0.73","0.75","0.79","0.76","0.77","0.89","0.9","0.98","."
"Lappi","Keminmaa","0.87","0.89","0.9","0.9","0.9","0.9","0.9","0.85","0.63","0.64","0.65","0.65","0.71","0.71","0.7","."
"Lappi","Kittilä","0.97","0.95","0.91","0.88","0.93","0.86","0.86","0.86","0.85","0.84","0.83","0.82","0.81","0.8","0.78","."
"Lappi","Kolari","0.97","0.98","0.95","0.97","0.97","0.98","0.98","0.99","1","1","0.98","1","0.99","0.99","0.99","."
"Lappi","Muonio","0.85","1.17","1.02","1.03","1.04","1.03","1.04","1.26","1.12","1.13","0.92","0.92","0.91","0.92","0.91","."
"Lappi","Posio","0.89","0.81","0.83","0.83","0.83","0.83","0.85","0.86","0.77","0.92","0.89","0.91","0.89","0.83","0.87","."
"Lappi","Ranua","0.85","0.86","0.89","0.91","1.02","1.23","0.92","0.95","0.97","1.07","1.13","1.13","1.17","1.27","1.26","."
"Lappi","Rovaniemi","1.15","1.2","1.16","1.2","1.18","1.23","1.19","1.02","1.01","1.02","0.91","0.94","0.88","0.87","0.87","."
"Lappi","Salla","0.82","0.85","0.88","0.8","0.83","0.77","0.88","0.96","1.07","1.08","1.22","0.89","1.01","1.25","1.26","."
"Lappi","Simo","0.97","0.99","1","1.03","1.03","1.04","1.06","1.1","1.11","0.72","0.73","0.74","0.75","0.76","0.77","."
"Lappi","Sodankylä+Pelkosenn.+Savuk.","0.76","0.75","0.75","0.75","0.83","0.87","0.85","0.88","0.86","0.87","0.91","0.93","0.97","0.97","0.97","."
"Lappi","Tervola","0.74","0.76","0.77","0.85","0.87","0.8","0.81","0.82","0.82","0.85","0.86","0.87","1.05","1.06","1.08","."
"Lappi","Tornio","0.93","0.94","0.94","0.81","0.78","0.93","0.83","0.82","0.82","0.74","0.71","0.71","0.69","0.75","0.77","."
"Lappi","Utsjoki","1.37","1.42","1.43","1.43","1.97","1.99","2.02","2.02","2.05","2.09","2.11","2.14","2.15","2.16","2.17","."
"Lappi","Ylitornio+Pello","0.9","0.9","0.9","0.83","0.84","0.75","0.76","0.77","0.79","0.91","0.93","0.94","0.86","0.89","0.91","."
"Maakunta","Etelä-Karjala","0.71","0.73","0.75","0.75","0.75","0.75","0.76","0.77","0.74","0.7","0.69","0.71","0.7","0.71","0.72","."
"Maakunta","Etelä-Pohjanmaa","0.74","0.74","0.76","0.76","0.76","0.76","0.75","0.77","0.76","0.77","0.76","0.76","0.76","0.78","0.78","."
"Maakunta","Etelä-Savo","0.76","0.75","0.75","0.79","0.78","0.77","0.77","0.74","0.72","0.71","0.72","0.74","0.73","0.73","0.74","."
"Maakunta","Kainuu","0.92","0.97","0.96","0.95","0.98","0.97","0.95","0.96","0.93","0.94","0.95","0.89","0.89","0.92","0.91","."
"Maakunta","Kanta-Häme","0.8","0.81","0.82","0.8","0.8","0.81","0.8","0.8","0.8","0.8","0.77","0.8","0.79","0.77","0.78","."
"Maakunta","Keski-Pohjanmaa","0.91","0.9","0.93","0.93","0.98","0.97","0.95","0.91","0.92","0.91","0.97","0.91","0.96","0.94","0.93","."
"Maakunta","Keski-Suomi","0.86","0.85","0.84","0.85","0.85","0.85","0.84","0.83","0.81","0.8","0.79","0.79","0.78","0.78","0.75","."
"Maakunta","Kymenlaakso","0.77","0.78","0.79","0.79","0.81","0.83","0.83","0.8","0.81","0.8","0.81","0.82","0.84","0.82","0.76","."
"Maakunta","Lappi","0.92","0.94","0.93","0.93","0.94","0.96","0.95","0.95","0.92","0.93","0.88","0.88","0.87","0.88","0.88","."
"Maakunta","Päijät-Häme","0.83","0.84","0.84","0.84","0.83","0.83","0.84","0.83","0.82","0.8","0.8","0.78","0.78","0.78","0.75","."
"Maakunta","Pirkanmaa","0.8","0.8","0.81","0.82","0.83","0.84","0.84","0.83","0.83","0.84","0.85","0.83","0.87","0.86","0.82","."
"Maakunta","Pohjanmaa","0.92","0.92","0.93","0.94","0.94","0.93","0.91","0.91","0.9","0.9","0.88","0.87","0.87","0.86","0.87","."
"Maakunta","Pohjois-Karjala","0.81","0.82","0.83","0.81","0.83","0.83","0.83","0.82","0.82","0.84","0.85","0.84","0.83","0.83","0.8","."
"Maakunta","Pohjois-Pohjanmaa","0.83","0.82","0.82","0.82","0.82","0.82","0.82","0.8","0.78","0.78","0.77","0.76","0.76","0.77","0.75","."
"Maakunta","Pohjois-Savo","0.82","0.81","0.79","0.8","0.81","0.83","0.77","0.76","0.74","0.78","0.77","0.81","0.79","0.78","0.77","."
"Maakunta","Satakunta","0.76","0.75","0.76","0.76","0.77","0.78","0.77","0.77","0.77","0.77","0.76","0.78","0.78","0.78","0.78","."
"Maakunta","Uusimaa","0.8","0.81","0.81","0.81","0.79","0.79","0.77","0.77","0.77","0.77","0.76","0.75","0.75","0.76","0.75","."
"Maakunta","Varsinais-Suomi","0.76","0.76","0.76","0.75","0.76","0.75","0.77","0.76","0.79","0.8","0.77","0.77","0.78","0.76","0.75","."
"Päijät-Häme","Asikkala","0.58","0.58","0.58","0.58","0.58","0.58","0.56","0.55","0.55","0.54","0.5","0.5","0.5","0.51","0.51","."
"Päijät-Häme","Hämeenkoski","0.76","0.77","0.77","0.78","0.32","0.78","0.77","0.78","0.79","0.79","0.8","0.8","0.79","0.8","0.81","."
"Päijät-Häme","Hartola","0.87","0.92","0.91","0.9","0.99","0.92","0.94","0.95","0.85","0.83","0.86","0.89","0.89","0.91","0.94","."
"Päijät-Häme","Heinola","0.6","0.67","0.69","0.7","0.68","0.69","0.71","0.69","0.69","0.7","0.69","0.67","0.66","0.69","0.69","."
"Päijät-Häme","Hollola+Kärkölä","0.64","0.64","0.64","0.64","0.63","0.63","0.67","0.66","0.66","0.64","0.64","0.62","0.6","0.55","0.53","."
"Päijät-Häme","Lahti","1.05","1.07","1.06","1.05","1.05","1.02","1.03","1.02","1","0.97","0.96","0.94","0.94","0.93","0.89","."
"Päijät-Häme","Nastola","0.47","0.46","0.48","0.47","0.46","0.47","0.47","0.47","0.46","0.47","0.42","0.43","0.42","0.44","0.44","."
"Päijät-Häme","Orimattila","0.5","0.5","0.5","0.49","0.49","0.56","0.62","0.62","0.61","0.61","0.61","0.6","0.61","0.61","0.61","."
"Päijät-Häme","Padasjoki","0.99","0.88","0.9","0.91","0.93","0.89","0.88","0.91","0.92","0.93","1.11","1.13","1.17","1.19","1.2","."
